Order,Family,Genus,Species,Status,Habit,Habitat,Start,Start_No,Mid,Mid_No,End,End_No,UK,Status_source,Habit_source,Flowering_period_source
Sapindales,Sapindaceae,Acer,NA,Broad,"Shrub, Tree",Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sapindales,Sapindaceae,Acer,Acer palmatum,Non_native,Shrub,Man made,Mar,3,Apr,4,Apr,4,Y,NA,NA,NA
Sapindales,Sapindaceae,Acer,Acer platanoides,Neophyte,Tree,Man made,Apr,4,May,5,Jun,6,Y,NA,NA,NA
Sapindales,Sapindaceae,Acer,Acer pseudoplatanus,Neophyte,Tree,Man made,Apr,4,May,5,May,5,Y,NA,NA,NA
Asterales,Asteraceae,Achillea,Achillea alpina,Non_native,Perennial herb,Man made,Jun,6,Aug,8,Sep,9,Y,NA,NA,NA
Asterales,Asteraceae,Achillea,NA,Broad,Perennial herb,Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ericales,Actinidiaceae,Actinidia,NA,Non_native,Vine,Man made,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ericales,Actinidiaceae,Actinidia,Actinidia latifolia,Non_native,Vine,Man made,May,5,Jun,6,Jun,6,Y,NA,NA,NA
Ericales,Actinidiaceae,Actinidia,Actinidia chinensis,Non_native,Vine,Man made,May,5,Jun,6,Jun,6,Y,https://pfaf.org/USER/Plant.aspx?LatinName=Actinidia+chinensis,https://pfaf.org/USER/Plant.aspx?LatinName=Actinidia+chinensis,https://pfaf.org/USER/Plant.aspx?LatinName=Actinidia+chinensis
Apiales,Apiaceae,Aegopodium,NA,Native,Perennial herb,"Disturbed habitats, Wide range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiales,Apiaceae,Aegopodium,Aegopodium podagraria,Native,Perennial herb,"Disturbed habitats, Wide range",May,5,Jun,6,Aug,8,Y,NA,NA,NA
Sapindales,Sapindaceae,Aesculus,Aesculus hippocastanum,Neophyte,Tree,Wide range,May,5,Jun,6,Jun,6,Y,NA,NA,NA
Sapindales,Sapindaceae,Aesculus,NA,Native/Neophyte,Tree,Wide range,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Sapindales,Simaroubaceae,Ailanthus,NA,Neophyte,Tree,Man made,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Sapindales,Simaroubaceae,Ailanthus,Ailanthus altissima,Neophyte,Tree,Man made,Jul,7,Jul,7,Aug,8,Y,https://pfaf.org/user/Plant.aspx?LatinName=Ailanthus+altissima,https://pfaf.org/user/Plant.aspx?LatinName=Ailanthus+altissima,https://pfaf.org/user/Plant.aspx?LatinName=Ailanthus+altissima
Asparagales,Amaryllidaceae,Allium,NA,Native/Neophyte,Perennial herb,Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fagales,Betulaceae,Alnus,NA,Native/Neophyte,Tree,Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllales,Amaranthaceae,Alternanthera,NA,Non_native,Perennial herb,Man made,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Rosales,Rosaceae,Amelanchier,Amelanchier canadensis,Neophyte,Shrub,Man made,Apr,4,Apr,4,Apr,4,Y,NA,NA,NA
Rosales,Rosaceae,Amelanchier,NA,Neophyte/Non_native,Shrub,"Man made, woodland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabales,Fabaceae,Anarthrophyllum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Fabales,Fabaceae,Anarthrophyllum,Anarthrophyllum capitatum,Non_native,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Ranunculales,Ranunculaceae,Anemone,NA,Native/Neophyte,Perennial herb,Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiales,Apiaceae,Angelica,NA,Broad,Perennial herb,"Man made, Disturbed habitats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
