Comment,ID,Kingdom,Phylum,Class,Order,Family,Average_confidence,PW,MC,CM,WC,AG,MM,CC,PH,ML,HH,JH,MB,SK,SP
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,asterids,Ericales,Balsaminaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Oleaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_ITS2p_dada2,dacbaea8972017c8134f1ac0a2cf9fbe,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,0.950576483166148,1097,892,109,812,2701,509,287,385,1173,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,rosids,Sapindales,Rutaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,asterids,Apiales,Araliaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,asterids,Ericales,Theaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,asterids,Dipsacales,Adoxaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,asterids,Ericales,Ericaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Scrophulariaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,rosids,Rosales,Cannabaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,rosids,Malvales,Malvaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,asterids,Dipsacales,Caprifoliaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,rosids,Malpighiales,Salicaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,asterids,Apiales,Apiaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,rosids,Sapindales,Sapindaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,rosids,Cucurbitales,Begoniaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
