"","Comment","ID","Kingdom","Phylum","Class","Order","Family","Average_confidence","PW","MC","CM","WC","AG","MM","CC","PH","ML","HH","JH","MB","SK","SP"
"1","Multi_ASVs_Merged_ITS2p_dada2","b2a8a212c4975d6c36d3fc2ce022d639","Viridiplantae","Streptophyta","asterids","Ericales","Balsaminaceae",0.986998966890729,196794,317526,332616,171841,55594,66378,218758,262777,347822,5352,244104,479693,253152,471714
"2","Multi_ASVs_Merged_ITS2p_dada2","05d5d99567163bbdb0981e5791dada0e","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae",0.890538770852915,89033,2901,39748,1786,19924,95108,8134,1275,9432,1229,0,0,2501,27
"3","Single_ASV_in_Data_ITS2p_dada2","6c2d5c92cfd4e1cffe97c1eba609b926","Viridiplantae","Streptophyta","asterids","Lamiales","Oleaceae",0.7255587196161,1149,725,7105,0,503,24897,1071,1275,6968,0,0,224,0,0
"4","Multi_ASVs_Merged_ITS2p_dada2","41868c62167d20caa40a6ddd39748f7b","Viridiplantae","Streptophyta","eudicots","Fabales","Fabaceae",0.925520410503917,5747,4097,1387,5651,24956,4303,1948,1271,56625,0,26,1243,465,0
"5","Single_ASV_in_Data_ITS2p_dada2","4a233f13d1c5b901e9d846012a4c79f8","Viridiplantae","Streptophyta","asterids","Fagales","Fagaceae",0.720871590939561,318,906,547,510,262,0,2014,0,1218,1114,0,0,0,599
"6","Multi_ASVs_Merged_ITS2p_dada2","36311a0a49ac19d103a6e2b6e65dd13f","Viridiplantae","Streptophyta","rosids","Sapindales","Rutaceae",0.999999999999993,0,0,31,0,0,0,0,0,0,123240,0,0,0,0
"7","Single_ASV_in_Data_ITS2p_dada2","1330c4ec3ab17b7df510519aa21644fd","Viridiplantae","Streptophyta","asterids","Apiales","Araliaceae",0.821820749536923,57,0,261,0,0,1046,3816,0,0,0,0,18,0,16
"8","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Ericales","Theaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Dipsacales","Adoxaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Ericales","Ericaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Multi_ASVs_Merged_ITS2p_dada2","c7b9301e4ba365a8dda6a453c632bc8c","Viridiplantae","Streptophyta","asterids","Lamiales","Scrophulariaceae",0.803028773205654,4,0,161,0,6,69,13,0,0,232,11,0,179,0
"12","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Rosales","Cannabaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Malvales","Malvaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Dipsacales","Caprifoliaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Multi_ASVs_Merged_ITS2p_dada2","f01825f51e91756892400760d0262a96","Viridiplantae","Streptophyta","asterids","Malpighiales","Salicaceae",0.752384106411686,0,0,1650,0,633,17857,0,0,0,0,0,0,43523,0
"16","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Apiales","Apiaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Sapindales","Sapindaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Cucurbitales","Begoniaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","Liliopsida","Asparagales","Xanthorrhoeaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Myrtales","Myrtaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","Liliopsida","Arecales","Arecaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Malpighiales","Hypericaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Single_ASV_in_Data_ITS2p_dada2","b910e03d7d06e30551659fddf285feb9","Viridiplantae","Streptophyta","rosids","Fagales","Juglandaceae",0.71136004286044,0,0,0,0,0,0,0,0,0,22445,0,0,0,0
"24","Multi_ASVs_Merged_ITS2p_dada2","c55b2951d41ec25f8ed5d4f97ede7c40","Viridiplantae","Streptophyta","asterids","Lamiales","Lamiaceae",0.812612144913042,0,224,0,0,0,0,0,0,0,0,0,0,0,0
"25","Multi_ASVs_Merged_ITS2p_dada2","9eb2f2d1796b167a57b184c6c6a2a00a","Viridiplantae","Streptophyta","rosids","Geraniales","Geraniaceae",0.803402992538983,3,1189,661,0,0,0,0,0,0,0,0,0,0,0
"26","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","Eudicots","Ranunculales","Papaveraceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Aquifoliales","Aquifoliaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Rosales","Rhamnaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Ericales","Actinidiaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Multi_ASVs_Merged_ITS2p_dada2","970c20c6362fde9dd6558885a2668e1e","Viridiplantae","Streptophyta","Liliopsida","Poales","Poaceae",0.901754710341379,0,75,16,0,0,42,0,0,111,394,8,0,0,10
"31","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","","Magnoliales","Magnoliaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Solanales","Convolvulaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","Liliopsida","Asparagales","Iridaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Sapindales","Simaroubaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Myrtales","Onagraceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Multi_ASVs_Merged_ITS2p_dada2","2e127c80282bd9b35f94ce499da5dfad","Viridiplantae","Streptophyta","asterids","Asterales","Asteraceae",0.899447978036204,597,1624,20097,1534,727,7354,623,0,920,1000,25,151,0,114
"37","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","","Ranunculales","Berberidaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Family_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Fagales","Betulaceae",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Multi_ASVs_Merged_ITS2p_dada2","901c89c21eb143bf0f417f88b44a503c","Viridiplantae","Streptophyta","rosids","Brassicales","Brassicaceae",0.950559088497647,2299,9915,234,9845,5532,3083,3853,83,5370,0,99,0,0,31
