Comment,ID,Kingdom,Phylum,Class,Order,Family,Genus,Genus.In.UK,Average_confidence,PW,MC,CM,WC,AG,MM,CC,PH,ML,HH,JH,MB,SK,SP
Multi_ASVs_Merged_ITS2p_dada2,cdb511f0e5cffb1fd07bfce405c89811,Viridiplantae,Streptophyta,asterids,Ericales,Balsaminaceae,Impatiens,Y,1,74375,121599,119756,66455,19606,24606,94358,111081,138572,3455,80596,179160,87524,181049
Multi_ASVs_Merged_ITS2p_dada2,05d5d99567163bbdb0981e5791dada0e,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Rubus,Y,0.751435077574131,107815,3492,22460,1332,21719,77654,8417,1275,8075,1229,0,0,2501,27
Genus_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Oleaceae,Olea,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Sorbus,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_ITS2p_dada2,719fcc9a6a938f3178479cc808fb456e,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Melilotus,Y,0.954919986613405,16,1297,0,302,4592,0,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,Quercus,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_ITS2p_dada2,36311a0a49ac19d103a6e2b6e65dd13f,Viridiplantae,Streptophyta,rosids,Sapindales,Rutaceae,Citrus,Y,0.999999999999993,0,0,31,0,0,0,0,0,0,123240,0,0,0,0
Single_ASV_in_Data_ITS2p_dada2,1330c4ec3ab17b7df510519aa21644fd,Viridiplantae,Streptophyta,asterids,Apiales,Araliaceae,Hydrangea,Y,0.821820749536923,57,0,261,0,0,1046,3816,0,0,0,0,18,0,16
Multi_ASVs_Merged_ITS2p_dada2,dfc6ac4a5fff7e779aa5881c74d5b453,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Prunus,Y,1,25,26,2619,0,1084,19995,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_ITS2p_dada2,NA,Viridiplantae,Streptophyta,asterids,Ericales,Theaceae,Camellia,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
