"","Comment","ID","Kingdom","Phylum","Class","Order","Family","Genus","Genus.In.UK","Average_confidence","PW","MC","CM","WC","AG","MM","CC","PH","ML","HH","JH","MB","SK","SP"
"1","Multi_ASVs_Merged_ITS2p_dada2","b2a8a212c4975d6c36d3fc2ce022d639","Viridiplantae","Streptophyta","asterids","Ericales","Balsaminaceae","Impatiens","Y",0.986998966890729,196794,317526,332616,171841,55594,66378,218758,262777,347822,5352,244104,479693,253152,471714
"2","Multi_ASVs_Merged_ITS2p_dada2","05d5d99567163bbdb0981e5791dada0e","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Rubus","Y",0.751435077574131,107815,3492,22460,1332,21719,77654,8417,1275,8075,1229,0,0,2501,27
"3","Genus_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Lamiales","Oleaceae","Olea","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Genus_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Sorbus","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Multi_ASVs_Merged_ITS2p_dada2","c675363169020cd87d18ba077bb52b44","Viridiplantae","Streptophyta","rosids","Fabales","Fabaceae","Melilotus","Y",0.958738433145536,750,1597,0,1238,11822,1664,0,860,0,0,0,0,0,0
"6","Genus_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Fagales","Fagaceae","Quercus","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Multi_ASVs_Merged_ITS2p_dada2","36311a0a49ac19d103a6e2b6e65dd13f","Viridiplantae","Streptophyta","rosids","Sapindales","Rutaceae","Citrus","Y",0.999999999999993,0,0,31,0,0,0,0,0,0,123240,0,0,0,0
"8","Single_ASV_in_Data_ITS2p_dada2","1330c4ec3ab17b7df510519aa21644fd","Viridiplantae","Streptophyta","asterids","Apiales","Araliaceae","Hydrangea","Y",0.821820749536923,57,0,261,0,0,1046,3816,0,0,0,0,18,0,16
"9","Multi_ASVs_Merged_ITS2p_dada2","41570fad738ade5e040f3b5d3fcdc87e","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Prunus","Y",1,25,26,3443,0,1576,31104,0,0,0,0,0,0,0,0
"10","Genus_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Ericales","Theaceae","Camellia","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Genus_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Crataegus","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Genus_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Dipsacales","Adoxaceae","Viburnum","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Genus_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Ericales","Ericaceae","Rhododendron","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Genus_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Mespilus","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Genus_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Fragaria","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Genus_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Lamiales","Scrophulariaceae","Buddleja","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
