"","Comment","ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species.In.UK","Average_confidence","PW","MC","CM","WC","AG","MM","CC","PH","ML","HH","JH","MB","SK","SP"
"1","Multi_ASVs_Merged_ITS2p_dada2","b2a8a212c4975d6c36d3fc2ce022d639","Viridiplantae","Streptophyta","asterids","Ericales","Balsaminaceae","Impatiens","Impatiens glandulifera","Y",0.980498450336093,122419,195927,212860,105386,35988,41772,124400,151696,209250,1897,163508,300533,165628,290665
"2","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Rubus","Rubus armeniacus","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Lamiales","Oleaceae","Olea","Olea europaea","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Fabales","Fabaceae","Melilotus","Melilotus officinalis","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Sapindales","Rutaceae","Citrus","Citrus sinensis","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Dipsacales","Adoxaceae","Viburnum","Viburnum acerifolium","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Rosales","Cannabaceae","Cannabis","Cannabis sativa","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Malpighiales","Salicaceae","Salix","Salix babylonica","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Apiales","Apiaceae","Pastinaca","Pastinaca pimpinellifolia","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Single_ASV_in_Data","e79cf665e0b89544760bd918df0b8a53","Viridiplantae","Streptophyta","rosids","Fabales","Fabaceae","Trifolium","Trifolium repens","Y",0.965966623524449,1848,491,333,1166,4244,888,611,0,1080,0,26,1214,119,0
"11","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","Liliopsida","Asparagales","Xanthorrhoeaceae","Phormium","Phormium tenax","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Malpighiales","Hypericaceae","Cratoxylum","Cratoxylum cochinchinense","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Sapindales","Rutaceae","Zanthoxylum","Zanthoxylum piperitum","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","Eudicots","Ranunculales","Papaveraceae","Papaver","Papaver somniferum","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Rosa","Rosa laevigata","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","Eudicots","Rosids","Malvales","Lavatera","Lavatera thuringiaca","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Lamiales","Scrophulariaceae","Buddleja","Buddleja davidii","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Ericales","Actinidiaceae","Actinidia","Actinidia chinensis","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","Liliopsida","Poales","Poaceae","Anthoxanthum","Anthoxanthum odoratum","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Prunus","Prunus padus","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Sapindales","Simaroubaceae","Ailanthus","Ailanthus altissima","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","eudicots","Ranunculales","Papaveraceae","Papaver","Papaver rhoeas","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Rosa","Rosa arkansana","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Dipsacales","Adoxaceae","Sambucus","Sambucus nigra","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Myrtales","Onagraceae","Fuchsia","Fuchsia cyrtandroides","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Dipsacales","Caprifoliaceae","Symphoricarpos","Symphoricarpos occidentalis","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Single_ASV_in_Data","2e127c80282bd9b35f94ce499da5dfad","Viridiplantae","Streptophyta","asterids","Asterales","Asteraceae","Leontodon","Leontodon hispidus","Y",0.994899548419185,0,654,9631,0,0,0,0,0,0,0,0,0,0,0
"28","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","","Ranunculales","Berberidaceae","Berberis","Berberis bealei","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Fagales","Betulaceae","Betula","Betula papyrifera","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Lamiales","Lamiaceae","Lavandula","Lavandula angustifolia","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Brassicales","Brassicaceae","Brassica","Brassica rapa","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Apiales","Apiaceae","Daucus","Daucus carota","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Rubus","Rubus reflexus","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","","Ranunculales","Ranunculaceae","Clematis","Clematis terniflora","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","asterids","Lamiales","Plantaginaceae","Veronica","Veronica americana","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Species_ASV_Absent_in_Data_ITS2p_dada2",NA,"Viridiplantae","Streptophyta","","Caryophyllales","Tamaricaceae","Tamarix","Tamarix gallica","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Single_ASV_in_Data","6c2d5c92cfd4e1cffe97c1eba609b926","Viridiplantae","Streptophyta","asterids","Lamiales","Oleaceae","Ligustrum","Ligustrum ovalifolium","Y",0.7255587196161,1149,725,7105,0,503,24897,1071,1275,6968,0,0,224,0,0
"38","Single_ASV_in_Data","777bdab6adc7a7987ebdf19ae28c35c0","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Filipendula","Filipendula ulmaria","Y",0.999999999999988,0,0,17128,454,0,250,326,0,1357,0,0,0,0,0
"39","Single_ASV_in_Data","41570fad738ade5e040f3b5d3fcdc87e","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Prunus","Prunus avium","Y",1.00000000000001,0,0,824,0,492,11109,0,0,0,0,0,0,0,0
"40","Multi_ASVs_Merged_ITS2p_dada2","426a0509a0b0704829601ee09581ca67","Viridiplantae","Streptophyta","eudicots","Fabales","Fabaceae","Phaseolus","Phaseolus coccineus","Y",0.999999999999999,0,0,0,0,0,0,0,0,19337,0,0,0,0,0
"41","Single_ASV_in_Data","59691de78557324ba47cd1fce3c6f4a0","Viridiplantae","Streptophyta","rosids","Brassicales","Brassicaceae","Sinapis","Sinapis arvensis","Y",0.997362082317901,2038,3908,0,0,3634,1561,0,0,0,0,0,0,0,0
"42","Single_ASV_in_Data","4a233f13d1c5b901e9d846012a4c79f8","Viridiplantae","Streptophyta","asterids","Fagales","Fagaceae","Castanea","Castanea sativa","Y",0.720871590939561,318,906,547,510,262,0,2014,0,1218,1114,0,0,0,599
"43","Multi_ASVs_Merged_ITS2p_dada2","c675363169020cd87d18ba077bb52b44","Viridiplantae","Streptophyta","rosids","Fabales","Fabaceae","Melilotus","Melilotus altissimus","Y",0.960647656411602,734,300,0,936,7230,1664,0,860,0,0,0,0,0,0
"44","Multi_ASVs_Merged_ITS2p_dada2","3aab500d3b2a053a2a4115314f41608b","Viridiplantae","Streptophyta","rosids","Myrtales","Melastomataceae","Bucquetia","Bucquetia glutinosa","N",0.817373684689843,260,2645,253,0,842,0,0,482,247,0,276,0,341,245
"45","Multi_ASVs_Merged_ITS2p_dada2","9eb2f2d1796b167a57b184c6c6a2a00a","Viridiplantae","Streptophyta","rosids","Geraniales","Geraniaceae","Geranium","Geranium phaeum","Y",0.803402992538983,3,1189,661,0,0,0,0,0,0,0,0,0,0,0
"46","Multi_ASVs_Merged_ITS2p_dada2","6be1879cb56d473085bf842e1aeb6de1","Viridiplantae","Streptophyta","rosids","Brassicales","Brassicaceae","Mancoa","Mancoa bracteata","N",0.846222042567812,0,413,208,683,0,138,999,0,0,0,99,0,0,0
"47","Multi_ASVs_Merged_ITS2p_dada2","7540c4f08a9cfa579511e15963528fa0","Viridiplantae","Streptophyta","asterids","Asterales","Asteraceae","Crepis","Crepis palaestina","N",0.741227669142705,0,0,0,0,343,0,29,0,0,0,0,0,0,0
"48","Single_ASV_in_Data","3c42128294b29871475cd7ddb6bd35c9","Viridiplantae","Streptophyta","asterids","Asterales","Asteraceae","Crepis","Crepis kotschyana","N",0.91569622219255,0,0,245,0,0,0,0,0,0,0,25,0,0,0
"49","Single_ASV_in_Data","0f20c687735316dd933162af1adc888a","Viridiplantae","Streptophyta","asterids","Asterales","Asteraceae","Bellis","Bellis prostrata","N",0.9999999964258,0,161,0,0,0,0,0,0,0,0,0,0,0,0
"50","Single_ASV_in_Data","c2fe5af5b73c3a8fa0207f131b3f0fe7","Viridiplantae","Streptophyta","","Caryophyllales","Amaranthaceae","Kaviria","Kaviria tomentosa","N",0.759801647193511,0,0,0,151,0,0,0,0,0,0,0,0,0,0
"51","Single_ASV_in_Data","23483c5ee1321a63ada53ca482128450","Viridiplantae","Streptophyta","asterids","Asterales","Menyanthaceae","Nymphoides","Nymphoides spinulosperma","N",0.999999669164237,0,0,0,0,0,0,0,0,0,0,0,109,0,0
"52","Multi_ASVs_Merged_ITS2p_dada2","c55b2951d41ec25f8ed5d4f97ede7c40","Viridiplantae","Streptophyta","asterids","Lamiales","Lamiaceae","Premna","Premna latifolia","N",0.740793687485386,0,202,0,0,0,0,0,0,0,0,0,0,0,0
"53","Single_ASV_in_Data","696bfa037f08e0f845ec1e1104cfb83c","Viridiplantae","Streptophyta","asterids","Boraginales","Boraginaceae","Phacelia","Phacelia pedicellata","N",0.782915697774965,0,0,0,83,0,0,0,0,0,0,0,0,0,0
"54","Multi_ASVs_Merged_ITS2p_dada2","30d2300ac46239c5b6d3ea290b104a16","Viridiplantae","Streptophyta","asterids","Asterales","Asteraceae","Trigonopterum","Trigonopterum laricifolium","N",0.714405485010163,0,0,0,0,0,0,0,0,73,0,0,0,0,4
