Comment,ID,Kingdom,Phylum,Class,Order,Family,Average_confidence,PW,MC,CM,WC,AG,MM,CC,PH,ML,HH,JH,MB,SK,SP
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Ericales,Balsaminaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,a83c8b04ced102d0a7bbfbca3bb5932f,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,0.999999992136188,4780,7806,1729,0,0,240,93,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,d5dd70795aea4dea38eeca2d30aefbd2,Viridiplantae,Streptophyta,asterids,Lamiales,Oleaceae,0.998902841792199,0,396,128,0,0,59,0,0,6,0,0,115,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Sapindales,Rutaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Apiales,Araliaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Ericales,Theaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Dipsacales,Adoxaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Ericales,Ericaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Scrophulariaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Rosales,Cannabaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Malvales,Malvaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Dipsacales,Caprifoliaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Malpighiales,Salicaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Apiales,Apiaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Sapindales,Sapindaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Cucurbitales,Begoniaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,Liliopsida,Asparagales,Xanthorrhoeaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Myrtales,Myrtaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,0d66f24675d9be76db002c4d6be9905d,Viridiplantae,Streptophyta,Liliopsida,Arecales,Arecaceae,0.999991675132329,2530,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Malpighiales,Hypericaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Fagales,Juglandaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Lamiales,Lamiaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Geraniales,Geraniaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,Eudicots,Ranunculales,Papaveraceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Aquifoliales,Aquifoliaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Rosales,Rhamnaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Ericales,Actinidiaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,,Magnoliales,Magnoliaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Solanales,Convolvulaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,Liliopsida,Asparagales,Iridaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Sapindales,Simaroubaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Myrtales,Onagraceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,,Ranunculales,Berberidaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Fagales,Betulaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,,Ranunculales,Ranunculaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
