"","Comment","ID","Kingdom","Phylum","Class","Order","Family","Average_confidence","PW","MC","CM","WC","AG","MM","CC","PH","ML","HH","JH","MB","SK","SP"
"1","Multi_ASVs_Merged_rbcL_dada2","27e1f34ccec7ec66b0ebb7ddf8a1255f","Viridiplantae","Streptophyta","asterids","Ericales","Balsaminaceae",0.999649301083519,3597,13982,8142,0,0,245,18419,47140,6005,0,78123,1002,83885,117419
"2","Multi_ASVs_Merged_rbcL_dada2","39ffa14510b339b5590ae79e3ef063b4","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae",0.983380496778,187967,177610,48530,38894,101413,26328,36175,0,20559,655,0,8,20439,0
"3","Multi_ASVs_Merged_rbcL_dada2","699be069a4356ff90b7e20307ee1c42b","Viridiplantae","Streptophyta","asterids","Lamiales","Oleaceae",0.832813914324136,4265,10560,35574,0,10807,8867,8767,0,5567,0,0,61258,0,0
"4","Multi_ASVs_Merged_rbcL_dada2","98be594151cc0e6e54d7ed5562442641","Viridiplantae","Streptophyta","rosids","Fabales","Fabaceae",0.935354087903613,1323,7296,278,68779,0,229,3708,0,1391,0,0,910,0,0
"5","Multi_ASVs_Merged_rbcL_dada2","388ed56431cd10bac2b868ab55199152","Viridiplantae","Streptophyta","rosids","Fagales","Fagaceae",0.929669843818434,0,20353,360,5569,1758,0,42,0,3724,0,0,0,11334,19231
"6","Multi_ASVs_Merged_rbcL_dada2","2eef634f1356060386cc3f60f800c75a","Viridiplantae","Streptophyta","rosids","Sapindales","Rutaceae",0.77779042656347,0,0,0,0,0,2441,0,0,0,64262,0,0,0,0
"7","Multi_ASVs_Merged_rbcL_dada2","e7598a93fada107d7f2160747ebc6e01","Viridiplantae","Streptophyta","asterids","Apiales","Araliaceae",0.930632801265735,0,0,671,0,0,119,13049,0,0,0,0,46135,0,188
"8","Multi_ASVs_Merged_rbcL_dada2","1912b0f01e2e6a203848f07a6c028563","Viridiplantae","Streptophyta","asterids","Ericales","Theaceae",0.989287774711833,0,0,0,0,0,0,0,0,27499,0,0,0,0,1895
"9","Multi_ASVs_Merged_rbcL_dada2","fca48187876a385603bf35d5e1b29d87","Viridiplantae","Streptophyta","asterids","Dipsacales","Adoxaceae",0.974717093121452,0,0,154,0,0,0,0,0,0,0,0,20690,0,0
"10","Multi_ASVs_Merged_rbcL_dada2","b2fa184ca03b0743051683a3d0e7f0f5","Viridiplantae","Streptophyta","asterids","Ericales","Ericaceae",0.996708507308877,0,0,0,0,0,0,0,0,0,0,20585,0,0,8008
"11","Multi_ASVs_Merged_rbcL_dada2","9663b930011e98e7619db5f85195151c","Viridiplantae","Streptophyta","asterids","Lamiales","Scrophulariaceae",0.999747122506542,15181,0,592,0,2632,664,0,0,0,0,0,0,0,0
"12","Multi_ASVs_Merged_rbcL_dada2","3575377213e42b05efe4668b0029cfba","Viridiplantae","Streptophyta","rosids","Rosales","Cannabaceae",0.999961921078828,0,0,0,0,0,0,0,0,0,0,0,0,0,12107
"13","Multi_ASVs_Merged_rbcL_dada2","be8afff2059099fdd204ae2af4be38bd","Viridiplantae","Streptophyta","rosids","Malvales","Malvaceae",0.995183419845147,7094,0,1298,0,0,807,3230,0,0,0,0,0,0,0
"14","Multi_ASVs_Merged_rbcL_dada2","5dbf80b8dcfb2212c0e6c3b960b18b5c","Viridiplantae","Streptophyta","asterids","Dipsacales","Caprifoliaceae",0.975161915158721,0,0,152,0,0,0,0,0,0,0,0,5,9852,0
