Comment,ID,Kingdom,Phylum,Class,Order,Family,Genus,Genus.In.UK,Average_confidence,PW,MC,CM,WC,AG,MM,CC,PH,ML,HH,JH,MB,SK,SP
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Ericales,Balsaminaceae,Impatiens,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,6a2708e53e696f3c6bf446462ee6f1c6,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Rubus,Y,0.99855439158866,64271,3559,10975,14038,17270,1225,0,0,14021,0,0,8,20439,0
Multi_ASVs_Merged_rbcL_dada2,802e655587d79c8399896ae6babb177d,Viridiplantae,Streptophyta,asterids,Lamiales,Oleaceae,Olea,Y,0.709487624539355,0,0,237,0,0,0,53,0,0,0,0,195,0,0
Multi_ASVs_Merged_rbcL_dada2,ce92158f5ca1a630253a0bc8d691a2b0,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Sorbus,Y,0.995092114197911,32,92585,0,0,26708,0,13587,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Melilotus,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,388ed56431cd10bac2b868ab55199152,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,Quercus,Y,0.906226459220041,0,20225,360,5569,1758,0,42,0,3724,0,0,0,11249,19054
Multi_ASVs_Merged_rbcL_dada2,1b3ac1c5267978d02a8f47b76340447a,Viridiplantae,Streptophyta,rosids,Sapindales,Rutaceae,Citrus,Y,0.999975522027974,0,0,0,0,0,0,0,0,0,534,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,e7598a93fada107d7f2160747ebc6e01,Viridiplantae,Streptophyta,asterids,Apiales,Araliaceae,Hydrangea,Y,0.92292586736859,0,0,671,0,0,119,13049,0,0,0,0,46135,0,0
Multi_ASVs_Merged_rbcL_dada2,ac4e72bf6068815bc604d94db1703ada,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Prunus,Y,0.999995314824371,1628,0,12576,0,11186,17350,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,1912b0f01e2e6a203848f07a6c028563,Viridiplantae,Streptophyta,asterids,Ericales,Theaceae,Camellia,Y,0.989287774711833,0,0,0,0,0,0,0,0,27499,0,0,0,0,1895
Multi_ASVs_Merged_rbcL_dada2,3617b0ae2e1717d8dcdacfde5cfedd14,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Crataegus,Y,0.999999998141523,0,0,680,0,219,0,22495,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Dipsacales,Adoxaceae,Viburnum,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,b2fa184ca03b0743051683a3d0e7f0f5,Viridiplantae,Streptophyta,asterids,Ericales,Ericaceae,Rhododendron,Y,0.996708507308877,0,0,0,0,0,0,0,0,0,0,20585,0,0,8008
Single_ASV_in_Data_rbcL_dada2,423b61716b67f367b5cc875bcc51d86c,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Mespilus,Y,0.999999999154357,16971,0,421,0,2209,0,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,921f2a615443a42bdb9ef44d2eaabd61,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Fragaria,Y,0.713123712504764,0,8106,9882,0,0,0,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,9663b930011e98e7619db5f85195151c,Viridiplantae,Streptophyta,asterids,Lamiales,Scrophulariaceae,Buddleja,Y,0.999764358569574,14726,0,592,0,2632,664,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Rosales,Cannabaceae,Cannabis,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,37c246e0e787fbb4e7772290c63b1a87,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Malus,Y,0.999999998746079,1069,0,1714,0,6547,410,0,0,0,655,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,be8afff2059099fdd204ae2af4be38bd,Viridiplantae,Streptophyta,rosids,Malvales,Malvaceae,Tilia,Y,0.993577981081289,7094,0,940,0,0,355,3230,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,5dbf80b8dcfb2212c0e6c3b960b18b5c,Viridiplantae,Streptophyta,asterids,Dipsacales,Caprifoliaceae,Dipsacus,Y,0.999529968527344,0,0,0,0,0,0,0,0,0,0,0,5,9852,0
Multi_ASVs_Merged_rbcL_dada2,f29426d55602e02ff35b4ce94e609f94,Viridiplantae,Streptophyta,rosids,Malpighiales,Salicaceae,Salix,Y,0.999297944177264,0,0,4128,0,0,1866,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,asterids,Apiales,Apiaceae,Pastinaca,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,0898d22de1c0e1b16e2b5e73f0652c7c,Viridiplantae,Streptophyta,rosids,Sapindales,Sapindaceae,Acer,Y,0.896711269395126,1659,0,0,0,4865,88,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,5a2cd3bd573710bf5484208c8fa917bc,Viridiplantae,Streptophyta,rosids,Cucurbitales,Begoniaceae,Begonia,Y,0.946372502265861,0,0,0,0,0,0,0,0,7052,0,0,0,0,4078
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Trifolium,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,2885d204c9d51ce22a763ba33f3350b2,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Argyrolobium,N,0.731277247960292,0,0,0,0,0,0,3708,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,115eac1187437628f3b49180f570397c,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Pyrus,Y,0.858303382192679,0,0,1172,0,0,2545,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,Liliopsida,Asparagales,Xanthorrhoeaceae,Phormium,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,4124a5983ba793a2f3a77319d5b6d8e5,Viridiplantae,Streptophyta,rosids,Myrtales,Myrtaceae,Eucalyptus,Y,0.989424790263117,0,0,0,0,0,0,0,0,0,0,0,0,0,2847
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Malpighiales,Hypericaceae,Cratoxylum,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,9533af7a8bca81f12ac8f986e5ef7db4,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Rosa,Y,0.936145724091863,0,0,254,0,1869,36,0,0,0,0,0,0,0,0
Genus_ASV_Absent_in_Data_rbcL_dada2,NA,Viridiplantae,Streptophyta,rosids,Sapindales,Rutaceae,Zanthoxylum,Y,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,f62346b306183c0fd78b3440ffaebf36,Viridiplantae,Streptophyta,rosids,Fagales,Juglandaceae,Juglans,Y,0.947532565928552,0,0,0,0,0,0,0,0,0,1659,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,a31c14f2dc037dbe8b4ebd59a37f6f69,Viridiplantae,Streptophyta,asterids,Lamiales,Lamiaceae,Salvia,Y,0.905867654307034,1494,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi_ASVs_Merged_rbcL_dada2,b42529d6d09f4de053e7c7b521aca535,Viridiplantae,Streptophyta,rosids,Geraniales,Geraniaceae,Geranium,Y,0.999761146069841,0,0,1407,0,0,0,0,0,0,0,0,0,0,0
Single_ASV_in_Data_rbcL_dada2,dddcf1d228ecc95ecf7a3493b8d809fb,Viridiplantae,Streptophyta,,Ranunculales,Papaveraceae,Papaver,Y,0.802892792334647,0,0,58,0,0,0,0,0,0,0,0,0,0,0
