"","Comment","ID","Kingdom","Phylum","Class","Order","Family","Genus","Genus.In.UK","Average_confidence","PW","MC","CM","WC","AG","MM","CC","PH","ML","HH","JH","MB","SK","SP"
"1","Multi_ASVs_Merged_rbcL_dada2","27e1f34ccec7ec66b0ebb7ddf8a1255f","Viridiplantae","Streptophyta","asterids","Ericales","Balsaminaceae","Impatiens","Y",0.999649301083519,3597,13982,8142,0,0,245,18419,47140,6005,0,78123,1002,83885,117419
"2","Multi_ASVs_Merged_rbcL_dada2","39ffa14510b339b5590ae79e3ef063b4","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Rubus","Y",0.996760692248895,162633,69113,19118,38894,52675,5658,0,0,20559,0,0,8,20439,0
"3","Multi_ASVs_Merged_rbcL_dada2","699be069a4356ff90b7e20307ee1c42b","Viridiplantae","Streptophyta","asterids","Lamiales","Oleaceae","Olea","Y",0.785521598294055,4265,10164,35036,0,10807,8737,8767,0,5561,0,0,61143,0,0
"4","Multi_ASVs_Merged_rbcL_dada2","ce92158f5ca1a630253a0bc8d691a2b0","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Sorbus","Y",0.995092114197911,32,92585,0,0,26708,0,13587,0,0,0,0,0,0,0
"5","Multi_ASVs_Merged_rbcL_dada2","98be594151cc0e6e54d7ed5562442641","Viridiplantae","Streptophyta","rosids","Fabales","Fabaceae","Melilotus","Y",0.938557357764967,0,7149,0,68779,0,152,0,0,0,0,0,0,0,0
"6","Multi_ASVs_Merged_rbcL_dada2","388ed56431cd10bac2b868ab55199152","Viridiplantae","Streptophyta","rosids","Fagales","Fagaceae","Quercus","Y",0.906226459220041,0,20225,360,5569,1758,0,42,0,3724,0,0,0,11249,19054
"7","Multi_ASVs_Merged_rbcL_dada2","2eef634f1356060386cc3f60f800c75a","Viridiplantae","Streptophyta","rosids","Sapindales","Rutaceae","Citrus","Y",0.767804606754074,0,0,0,0,0,45,0,0,0,64262,0,0,0,0
"8","Multi_ASVs_Merged_rbcL_dada2","e7598a93fada107d7f2160747ebc6e01","Viridiplantae","Streptophyta","asterids","Apiales","Araliaceae","Hydrangea","Y",0.92292586736859,0,0,671,0,0,119,13049,0,0,0,0,46135,0,0
"9","Multi_ASVs_Merged_rbcL_dada2","ac4e72bf6068815bc604d94db1703ada","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Prunus","Y",0.991180773783179,1628,0,12989,0,11186,17439,0,0,0,0,0,0,0,0
"10","Multi_ASVs_Merged_rbcL_dada2","1912b0f01e2e6a203848f07a6c028563","Viridiplantae","Streptophyta","asterids","Ericales","Theaceae","Camellia","Y",0.989287774711833,0,0,0,0,0,0,0,0,27499,0,0,0,0,1895
"11","Multi_ASVs_Merged_rbcL_dada2","3617b0ae2e1717d8dcdacfde5cfedd14","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Crataegus","Y",0.999999998141523,0,0,680,0,219,0,22495,0,0,0,0,0,0,0
"12","Multi_ASVs_Merged_rbcL_dada2","fca48187876a385603bf35d5e1b29d87","Viridiplantae","Streptophyta","asterids","Dipsacales","Adoxaceae","Viburnum","Y",0.965966283934696,0,0,0,0,0,0,0,0,0,0,0,20690,0,0
"13","Multi_ASVs_Merged_rbcL_dada2","b2fa184ca03b0743051683a3d0e7f0f5","Viridiplantae","Streptophyta","asterids","Ericales","Ericaceae","Rhododendron","Y",0.996708507308877,0,0,0,0,0,0,0,0,0,0,20585,0,0,8008
"14","Single_ASV_in_Data_rbcL_dada2","423b61716b67f367b5cc875bcc51d86c","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Mespilus","Y",0.999999999154357,16971,0,421,0,2209,0,0,0,0,0,0,0,0,0
"15","Multi_ASVs_Merged_rbcL_dada2","921f2a615443a42bdb9ef44d2eaabd61","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Fragaria","Y",0.713123712504764,0,8106,9882,0,0,0,0,0,0,0,0,0,0,0
