"","Comment","ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species.In.UK","Average_confidence","PW","MC","CM","WC","AG","MM","CC","PH","ML","HH","JH","MB","SK","SP"
"1","Multi_ASVs_Merged_rbcL_dada2","27e1f34ccec7ec66b0ebb7ddf8a1255f","Viridiplantae","Streptophyta","asterids","Ericales","Balsaminaceae","Impatiens","Impatiens glandulifera","Y",0.999649301083519,3597,13982,8142,0,0,245,18419,47140,6005,0,78123,1002,83885,117419
"2","Single_ASV_in_Data","39ffa14510b339b5590ae79e3ef063b4","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Rubus","Rubus armeniacus","Y",0.998767951717424,98362,65554,8068,24856,35405,4433,0,0,6538,0,0,0,0,0
"3","Multi_ASVs_Merged_rbcL_dada2","699be069a4356ff90b7e20307ee1c42b","Viridiplantae","Streptophyta","asterids","Lamiales","Oleaceae","Olea","Olea europaea","Y",0.79352517447876,4265,10164,34799,0,10807,8737,8714,0,5561,0,0,60948,0,0
"4","Multi_ASVs_Merged_rbcL_dada2","98be594151cc0e6e54d7ed5562442641","Viridiplantae","Streptophyta","rosids","Fabales","Fabaceae","Melilotus","Melilotus officinalis","Y",0.938557357764967,0,7149,0,68779,0,152,0,0,0,0,0,0,0,0
"5","Multi_ASVs_Merged_rbcL_dada2","2eef634f1356060386cc3f60f800c75a","Viridiplantae","Streptophyta","rosids","Sapindales","Rutaceae","Citrus","Citrus sinensis","Y",0.738039104795881,0,0,0,0,0,45,0,0,0,63728,0,0,0,0
"6","Multi_ASVs_Merged_rbcL_dada2","fca48187876a385603bf35d5e1b29d87","Viridiplantae","Streptophyta","asterids","Dipsacales","Adoxaceae","Viburnum","Viburnum acerifolium","Y",0.965966283934696,0,0,0,0,0,0,0,0,0,0,0,20690,0,0
"7","Multi_ASVs_Merged_rbcL_dada2","3575377213e42b05efe4668b0029cfba","Viridiplantae","Streptophyta","rosids","Rosales","Cannabaceae","Cannabis","Cannabis sativa","Y",0.999961921078828,0,0,0,0,0,0,0,0,0,0,0,0,0,12107
"8","Multi_ASVs_Merged_rbcL_dada2","dc7e3a3773d2496c51fec4d87e2e96db","Viridiplantae","Streptophyta","rosids","Malpighiales","Salicaceae","Salix","Salix babylonica","Y",0.885356181963566,0,0,1269,0,0,0,0,0,5963,0,0,0,0,0
"9","Multi_ASVs_Merged_rbcL_dada2","3eeb95e8ffe0783e5c44a65e8f41cca8","Viridiplantae","Streptophyta","asterids","Apiales","Apiaceae","Pastinaca","Pastinaca pimpinellifolia","N",0.79637873519223,0,2643,131,0,5571,0,0,0,0,0,0,0,0,0
"10","Multi_ASVs_Merged_rbcL_dada2","38fd1a4cf943aa7dcd8d3d8ee3f17ab8","Viridiplantae","Streptophyta","rosids","Fabales","Fabaceae","Trifolium","Trifolium repens","Y",0.995743568182675,1323,147,10,0,0,77,0,0,1391,0,0,910,0,0
"11","Single_ASV_in_Data","f9818a9a5a1880b3acae70e2143ff671","Viridiplantae","Streptophyta","Liliopsida","Asparagales","Xanthorrhoeaceae","Phormium","Phormium tenax","Y",0.999969017385311,0,0,0,0,3513,85,0,0,0,0,0,0,0,0
"12","Multi_ASVs_Merged_rbcL_dada2","a36f74643e9ba2743b22a55818332c46","Viridiplantae","Streptophyta","rosids","Malpighiales","Hypericaceae","Cratoxylum","Cratoxylum cochinchinense","N",0.991879273975232,1902,932,0,0,0,0,0,0,0,0,0,0,0,0
"13","Multi_ASVs_Merged_rbcL_dada2","40c939c2af6adecc6aefebd0066c191f","Viridiplantae","Streptophyta","rosids","Sapindales","Rutaceae","Zanthoxylum","Zanthoxylum piperitum","Y",0.997478462370181,0,0,0,0,0,2396,0,0,0,0,0,0,0,0
"14","Single_ASV_in_Data","01b13ce3192fb083418e654d9a0abb40","Viridiplantae","Streptophyta","","Ranunculales","Papaveraceae","Papaver","Papaver somniferum","Y",0.803814302113273,0,0,1139,0,0,0,0,0,0,0,0,0,0,0
"15","Multi_ASVs_Merged_rbcL_dada2","ecd7e433f0bca0de57e9f042676269c6","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Rosa","Rosa laevigata","Y",0.712854374088136,854,0,333,0,0,0,0,0,0,0,0,0,0,0
"16","Multi_ASVs_Merged_rbcL_dada2","0db45ae51d36901f4b6e9ceb34152d24","Viridiplantae","Streptophyta","rosids","Malvales","Malvaceae","Lavatera","Lavatera thuringiaca","Y",0.999999736136724,0,0,358,0,0,452,0,0,0,0,0,0,0,0
"17","Single_ASV_in_Data","13c289237498bded7417e0a8cbafe579","Viridiplantae","Streptophyta","asterids","Lamiales","Scrophulariaceae","Buddleja","Buddleja davidii","Y",0.999876099299811,722,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Single_ASV_in_Data","ad0bb26a8938b86ec53ad7a757107f06","Viridiplantae","Streptophyta","asterids","Ericales","Actinidiaceae","Actinidia","Actinidia chinensis","Y",0.84194532371082,0,0,594,0,0,0,0,0,0,0,0,0,0,0
"19","Single_ASV_in_Data","67c865b34249dfb1d1e7cdee9b6fe2eb","Viridiplantae","Streptophyta","Liliopsida","Poales","Poaceae","Anthoxanthum","Anthoxanthum odoratum","Y",0.997792794069703,0,0,0,0,0,0,0,0,0,0,0,0,0,528
"20","Single_ASV_in_Data","04bcbe909f19463e6901a830b63c43fd","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Prunus","Prunus padus","Y",0.920664445453646,0,0,413,0,0,89,0,0,0,0,0,0,0,0
"21","Multi_ASVs_Merged_rbcL_dada2","4b025395a9de1f5e610d58fd04a3cf8d","Viridiplantae","Streptophyta","rosids","Sapindales","Simaroubaceae","Ailanthus","Ailanthus altissima","Y",0.999470306321271,315,0,27,0,0,176,0,0,0,0,0,0,0,0
"22","Single_ASV_in_Data","03aed845cb002ab1c4a220a3c8ae70e5","Viridiplantae","Streptophyta",NA,"Ranunculales","Papaveraceae","Papaver","Papaver rhoeas","Y",1,0,0,0,0,0,193,0,0,0,0,0,0,0,0
